Company Name,Tags,Phone,Address
嘉泉貿易公司,"辦公室傢俬及設備─買賣,辦公室傢俬及設備─鋼製", 2389 9409,荃灣 沙咀道57號荃運工業中心2期11樓C6室
德雅傢具(香港)有限公司,辦公室傢俬及設備─批發及製造, 2797 3630,上環 干諾道中134號誠信大廈地下
美和夜冷,"辦公室傢俬及設備─買賣,Second Hand Office Furniture", 2410 0887,葵涌 大連排道36-40號貴盛工業大廈1期12樓A室
高柏二手辦公室傢俬,"辦公室傢俬及設備─買賣,office furniture", 2783 9966,觀塘 巧明街118號萬年工業大廈4B室
Chin Ming Ofc Furn Co,辦公室傢俬及設備─買賣, 2462 2810,"Hung Tat Ind Bldg, Kwun Tong"
Chow Kwong Fat,辦公室傢俬及設備─買賣, 2410 0887,"Kwai Shing Ind Bldg, Kwai Chung"
Houtoku Trdg Co Ltd,辦公室傢俬及設備─買賣, 2576 7488,黃竹坑 Regency Centre
明興國際辦公室傢具公司,辦公室傢俬及設備─買賣, 2775 6363,觀塘 明生工業大廈
Brilliant Space Ofc Furn Ltd,辦公室傢俬及設備─買賣, 2505 8383,"Wah Hing Coml Bldg, Wan Chai"
Mesco Business Systems,辦公室傢俬及設備─買賣, 2793 2233,"Che Wah Ind Bldg, Kwai Chung"
星光透明膠盒廠有限公司,"塑膠盒,膠袋及手挽袋,PET Box,化裝袋,包裝盒,紙袋,透明盒,禮物盒", 2754 8038,觀塘 大業街13號日生工業大廈6樓
Hung Kei Wa,塑膠盒, 2389 6616,"Hoi Luen Ind Centre, Kwun Tong"
昊天發展集團有限公司,塑膠盒, 3160 8466,灣仔 港灣道30號新鴻基中心49樓4917-4932室
同樂吸塑膠盒有限公司,塑膠盒, 2690 2330,沙田 宇宙工業中心
百迪包裝有限公司,塑膠盒, 2607 3313,沙田 宇宙工業中心
協成膠盒廠有限公司,塑膠盒, 2793 4028,觀塘 豐利中心
協利膠盒廠有限公司,塑膠盒, 2790 7386,觀塘 華成工商中心
香港華盛股份有限公司,塑膠盒, 2529 3303,灣仔 Tesbury Centre
高敏實業有限公司,塑膠盒, 2462 1500,青衣 青衣工業中心
港鋒膠盒廠有限公司,塑膠盒, 2954 9877,土瓜灣 新利華中心
雄峰啤盒公司,塑膠盒, 2557 4880,柴灣 富誠工業大廈
Kyocera Document Technology Co (HK) Ltd,影印機及用品, 2423 5121,"Mita Centre, Kwai Chung"
富士有限公司,影印機及用品, 2442 0810,元朗 雄偉工業大廈
Konica Minolta Business Technologies Mfg (HK) Ltd,影印機及用品, 2963 4558,"Rykadan Capital Tower, Kwun Tong"
Neotech Co Ltd,影印機及用品, 2343 8180,"Winner Fty Bldg, Kwun Tong"
